Card,Strain,Matching Criteria,Description
one of wands,Tardis,"Talkative, Creative, Sweet, Diesel, Spicy/Herbal, sativa","Tardis, or “The Tardis,” is a sativa-dominant strain with far-out cerebral  effects. Appropriating the title of Dr. Who’s famous phone booth, Tardis is a cross of Oregon Diesel and Trainwreck. This heady pairing lands behind the eyes, saddling the mind with euphoria and introspective thoughts. These attributes make Tardis a strong mood enhancer, teasing at the consumer's imagination and creativity while helping abate stress. Respect this strain’s potency, as it has been reported to reach upwards of 26% THC.  "
one of wands,Full-Moon,"Aroused, Creative, Spicy/Herbal, Citrus, Earthy, sativa","Nirvana Seeds found this beauty on the Thai island of Koh Phangan and named it after the famous Full Moon Party held monthly on Haad Rin beach. A classic tropical sativa, Full Moon is a tall, stretchy, long-flowering strain that will produce dense buds under HID lighting. Sweet-smelling with a spicy smoke typical of most Thai varieties, users can expect a trippy, visually stimulating high that can be uncomfortable to those unfamiliar with strong sativas."
one of wands,Summertime-Squeeze,"Creative, Happy, Tea, Earthy, Spicy/Herbal, sativa","Summertime Squeeze is a sativa-dominant strain whose aroma brings to mind fresh citrus and tropical fruit. Its high-energy, active effects make it a perfect choice for getting outside, socializing, or indulging in creative activities."
one of wands,Harley-Storm,"Relaxed, Uplifted, Spicy/Herbal, Sweet, Tropical, sativa","Harley Storm by Cannavative is a complex union of CBD-rich parent strains. By crossing Harle-Tsu and Thunderstruck, this aptly named strain takes on mild cerebral effects while remaining primarily medicinal. Harley Storm offers consumers an uplifting headiness with alert stimulation while reducing inflammation and pain. Consume this strain’s massive 22:1 CBD/THC ratio on its own or as a supplementary addition to other strains."
one of wands,Narnia,"Happy, Creative, Sweet, Citrus, Spicy/Herbal, sativa","Narnia, a strain produced by Soulshine Cannabis and developed by Advanced Growing Technologies, is the stimulating sativa-dominant cross of Jack Herer and Trainwreck. It has an incredibly fast onset, imbuing consumers with an amplified sense of their imaginations while promoting upbeat physical activity. This long-lasting strain has massive trichome production and a terpene profile rich with citrus tang, spice, and a touch of sweetness. Enjoy Narnia to enhance mood, encourage creativity, and nullify lethargy. "
two of wands,Elmers-Glue,"Hungry, Relaxed, Sage, Pepper, Sweet, hybrid","Elmer’s Glue by Relentless Genetics is an embellishment of the potent and famous Gorilla Glue #4. This strain is a cross of Gorilla Glue #4 and The White, and it is considered by some to be an improvement on GG4’s flavor and trichome production. Elmer’s Glue retains the sharp pine, astringent, and fuel aromas of its dominant parent while expressing more subtle sweet, earthy notes on the exhale. Beyond this strain’s incredible trichome coverage, the height, yield, and flowering time are relatively average. "
two of wands,Biker-Leblanc,"Relaxed, Focused, Spicy/Herbal, Sage, Earthy, hybrid","A sativa-dominant hybrid rarely found nowadays, Biker Le’Blanc is a dense and resinous strain that combines Raskal’s The White with Hell’s Angel OG (Biker Kush cut). Leading with a skunky, earthy aroma typical of OG varieties, Biker Le’Blanc offers heavily relaxing effects that weigh the body down without causing too much cloudiness in the head. Its THC content is known to stretch to 23%, so proceed with caution if you’re sensitive to cannabis’ psychoactive effects."
two of wands,Wreckage,"Uplifted, Relaxed, Earthy, Nutty, Sage, hybrid","Wreckage, bred by T.H. Seeds, is a sativa-dominant cross between Trainwreck and SAGE that provides an energetic, happy escape from stress, fatigue, and bad moods. Combining flavor profiles from both parents, Wreckage takes on a fresh menthol and herbal sandalwood aroma. "
two of wands,Bloodhound,"Happy, Relaxed, Earthy, Sage, Spicy/Herbal, hybrid","Bloodhound is the obscure cross of Huckleberry Hound and Guard Dawg (by RedEyed Genetics). This genetic coupling was motivated by the desire to preserve the beautiful foliage and tartness of Huckleberry Hound while co-opting Guard Dawg’s potency. With a decent yield and THC percentage upwards of 24%, this strain smells of tart fruit intermixed with an earthy chocolate fondue flavor."
two of wands,Dreadlock,"Focused, Relaxed, Earthy, Diesel, Sage, hybrid","Dreadlock, hailing from Canada, is a 50/50 hybrid with energizing effects that carry social interactions to a new level. Patients and consumers chasing strains with mood-elevating properties stop their search at Dreadlock, a name derived from its dense, nappy buds. It produces heavy yields of sweet, musky flowers blanketed in crystal trichomes. A good strain for novice growers, Dreadlock plants are hardy and resilient when it comes to mold. Joint Doctor Seeds, the strain’s original growers, recommend indoor soil gardens and the “screen of green” method. A full 9 weeks for flowering is suggested with Dreadlock, as it tends to gain a lot of weight and THC in its final mile."
